source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,Custom weighted log-loss LR,0.5394968443039913,0.2000234785435701,0.5278389540052808,0.221914516470984,0.4888888888888889,0.6417378917378916,0.5481560022432914,0.686317489200987,6.0,10.0
synthetic_ir,EasyEnsemble,0.1033285624572706,0.0358578397540411,0.3542032594782134,0.1446508676301998,0.8388888888888889,0.0552754107952245,0.1894025750371188,0.8398561372461041,14.0,14.0
synthetic_ir,RF (balanced_subsample),0.1643625192012288,0.1471370511572044,0.7185624035569421,0.0781875747924313,0.0944444444444444,1.0,0.2832285558197352,0.2844648596949974,10.0,2.0
synthetic_ir,RUSBoost,0.0442880055485716,0.0062333536357057,0.0312640892746754,0.0062174858012968,0.5666666666666667,0.0231215289891284,0.0743395737977553,0.6470928182958564,15.0,15.0
synthetic_ir,Random Oversampling + RF,0.3699923399090737,0.142117643502871,0.683054829585366,0.0684869112964045,0.2333333333333333,1.0,0.4723110162893342,0.4740770060352345,7.0,6.0
synthetic_ir,Random Undersampling + RF,0.1439463493795779,0.0419435923644436,0.5209398691199246,0.1488476569905236,0.8722222222222222,0.0788864192523914,0.2414289784549056,0.880983195807155,11.0,11.0
synthetic_ir,SMOTE + RF,0.5871879362733021,0.0899157061826249,0.7003461628171843,0.0671036714984138,0.4555555555555555,0.8587801087801088,0.6181237452892611,0.671444898933632,1.5,3.5
synthetic_ir,SMOTE-ENN + RF,0.5794491095695915,0.0950942388832418,0.6914161103879356,0.0704606984839938,0.4555555555555555,0.8257153474544778,0.6061132952983996,0.6713725126459286,4.0,5.0
synthetic_ir,SMOTE-Tomek + RF,0.5871879362733021,0.0899157061826249,0.7003461628171843,0.0671036714984138,0.4555555555555555,0.8587801087801088,0.6181237452892611,0.671444898933632,1.5,3.5
synthetic_ir,ADASYN + RF,0.8203070136749492,0.0446125687548706,0.8989904756119605,0.0431577441246258,0.7888888888888889,0.8554855330805999,0.8041726239162644,0.8820124197483808,4.0,7.0
synthetic_ir,Balanced Bagging,0.7168321823531039,0.0670016501367558,0.8316781928419713,0.0634940153145114,0.8466666666666667,0.6233586991386163,0.69411987408823,0.8956614405957996,8.0,11.0
synthetic_ir,Balanced Random Forest,0.7795301336799598,0.0485807833100559,0.8857948342063174,0.0329713354232738,0.8377777777777777,0.7291267795706494,0.7580365846051699,0.900751159921198,6.0,9.0
synthetic_ir,Baseline RF,0.6968683169707676,0.0761010724403262,0.89718902015615,0.0263099965137976,0.5422222222222222,0.9891110835092948,0.7137021964218039,0.7342485195552667,10.0,8.0
synthetic_ir,Borderline-SMOTE + RF,0.8190981379759276,0.0364082774031653,0.9031121394135256,0.054781508935776,0.7688888888888888,0.8778600166473544,0.8047813914186718,0.8719007219590651,5.0,6.0
synthetic_ir,Class weight LogisticRegression,0.4515974151914927,0.1153739803228809,0.6033264568493611,0.1750141405778792,0.7888888888888889,0.3193533383014451,0.4213853643870417,0.8032660071392899,14.0,14.0
synthetic_ir,Custom weighted log-loss LR,0.5551502365988368,0.0832975055095258,0.641745913913244,0.1412144269420374,0.6866666666666666,0.4659524995847866,0.5132315512075023,0.7938921940945095,12.0,13.0
synthetic_ir,EasyEnsemble,0.4605560828982756,0.0860854495173178,0.6444689037399839,0.1295082267793131,0.8088888888888889,0.3246880570409982,0.4355879845540991,0.8152479716837654,13.0,12.0
synthetic_ir,RF (balanced_subsample),0.6474160837558984,0.1129850875485587,0.920797481970348,0.0379443154922151,0.4866666666666666,0.9962962962962963,0.675334965595877,0.6936386186593908,11.0,4.0
synthetic_ir,RUSBoost,0.348689701646724,0.1419441292199816,0.409817854316682,0.2157674036261779,0.64,0.243902507088161,0.2883411258967587,0.7029670074174651,15.0,15.0
synthetic_ir,Random Oversampling + RF,0.7630747694999664,0.0402511800352318,0.9236966710459416,0.045254915587082,0.6266666666666666,0.9803846153846152,0.7677551560352663,0.7904769066196525,7.0,1.0
synthetic_ir,Random Undersampling + RF,0.7019878651176965,0.0512297605334197,0.8802536165564409,0.0381322054290248,0.8911111111111111,0.5799200007247952,0.6848803058562308,0.912605844204084,9.0,10.0
synthetic_ir,SMOTE + RF,0.8394520610698888,0.0413007789457733,0.9217209058238988,0.0446482076725108,0.7933333333333333,0.8917129579934163,0.8261645959092387,0.8862682064772708,1.5,2.5
synthetic_ir,SMOTE-ENN + RF,0.8359623788525945,0.0497104296346301,0.9136221817795356,0.0469399327879284,0.8066666666666666,0.8681378102791224,0.8209950289057826,0.892415971088532,3.0,5.0
synthetic_ir,SMOTE-Tomek + RF,0.8394520610698888,0.0413007789457733,0.9217209058238988,0.0446482076725108,0.7933333333333333,0.8917129579934163,0.8261645959092387,0.8862682064772708,1.5,2.5
synthetic_ir,ADASYN + RF,0.5393090569561158,0.1118336011032516,0.6140043991372052,0.1119192839039783,0.4592592592592592,0.6661111111111112,0.5435007440598406,0.6732859990729813,4.0,7.0
synthetic_ir,Balanced Bagging,0.2738046844380638,0.0090465179003711,0.4374740429646168,0.0502068520917847,0.8074074074074075,0.1648889754296387,0.3414530539271232,0.8607899557663896,9.0,11.0
